"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
6650,"36 Months",2,"NOne",56000,"0","",23.36,"None",36223.09931,680,1,0,16,"None",13972,83.2,24,0,"None","0"
12000,"36 Months",10,"MORTGAGE",80000,"0","AZ",18.52,"None",34560.36875,665,0,60,7,"None",15519,91.8,25,288,"None","0"
13000,"36 Months",7,"NOne",64000,"Debt Consolidation","",19.03,"None",35931.20208,685,0,0,7,"None",17902,94.7,13,332,"None","0"
1000,"36 Months",9,"MORTGAGE",72000,"Medical","CA",16.9,"None",33319.2625,765,0,0,18,"None",28938,23.4,34,725,"None","0"
12000,"36 Months",5,"MORTGAGE",96000,"Debt Consolidation","AZ",9.26,"None",32926.33542,730,1,0,9,"None",10836,63,43,0,"None","0"
5600,"36 Months",10,"MORTGAGE",120000,"0","",18.96,"None",36080.28264,710,1,0,15,"None",50000,71.4,50,388,"None","0"
22000,"60 Months",1,"NOne",70000,"0","CA",22.18,"None",35787.08333,715,2,81,12,"None",20365,35.6,28,335,"None","0"
20000,"60 Months",2,"NOne",90064,"Debt Consolidation","",20.07,"None",37306.37708,705,0,25,11,"None",3307,26.7,32,1000,"None","0"
8000,"36 Months",0.5,"NOne",36000,"Debt Consolidation","",8.8,"None",37963.17083,690,0,0,6,"None",3756,85.4,8,286,"None","0"
12000,"36 Months",1,"NOne",46000,"Debt Consolidation","AZ",19.57,"None",36360.28889,695,1,0,10,"None",27261,87.4,33,88,"None","0"
12000,"36 Months",1,"MORTGAGE",2e+05,"Debt Consolidation","",3.58,"None",30000,735,3,51,23,"None",20186,8.4,56,115,"None","0"
6600,"36 Months",0.5,"NOne",70000,"0","",16.41,"None",37517.08542,705,0,0,13,"None",7755,34.3,19,0,"None","0"
6500,"36 Months",4,"MORTGAGE",95000,"0","AL",12.66,"None",30000,760,1,0,11,"None",5074,20.8,39,1000,"None","0"
3000,"36 Months",6,"NOne",37800,"Debt Consolidation","CA",13.27,"None",37428.37569,665,1,60,9,"None",5628,56.3,17,0,"None","0"
18000,"36 Months",6,"NOne",50000,"Debt Consolidation","CA",15.1,"None",37206.16458,685,1,0,7,"None",20347,78.6,26,1000,"None","0"
7200,"36 Months",10,"MORTGAGE",79632,"Home Improvement","AL",12.25,"Eight",36399.04444,665,1,20,6,"None",2391,47.8,17,0,"None","0"
8800,"36 Months",1,"NOne",93200,"0","AZ",12.63,"None",34809.34861,725,1,0,11,"None",46086,58,27,573,"None","0"
3000,"36 Months",2,"MORTGAGE",2e+05,"Home Improvement","AL",0,"Eight",35472.20417,675,0,19,5,"None",0,0,8,485,"None","0"
13000,"36 Months",4,"NOne",90000,"0","AZ",9.27,"None",34032.14861,700,1,58,14,"None",10429,32.9,53,1000,"None","0"
21000,"36 Months",10,"MORTGAGE",150000,"0","CA",22.94,"None",36356.29861,755,1,0,7,"None",298,1,11,0,"None","0"
25000,"36 Months",5,"MORTGAGE",90000,"Debt Consolidation","AL",21.14,"None",37109.26597,680,1,0,21,"None",22752,49.3,35,0,"None","0"
