"Loan.Amount","Loan.Term","Employment.Length","Home.Ownership","Annual.Income","Loan.Purpose","Address.State","Debt.To.Income.Ratio","No..Delinquencies.In.Last.2.Years","Earliest.Credit.Line.Opened","FICO.Credit.Score","No..Inquiries.In.Last.6.Months","Months.Since.Last.Delinquency","No..Of.Credit.Lines","No..Adverse.Public.Records","Total.Credit.Balance","Use.Of.Credit.Line","Total.Number.Of.Credit.Lines","Loan.Application.Description","No..Of.Public.Record.Bankruptcies","Class"
1500,"36 Months",1,"NOne",25000,"Medical","AZ",3.84,"Eight",37859.18333,630,1,5,4,"None",1238,61.9,6,1000,"None","0"
18000,"36 Months",10,"MORTGAGE",41000,"Debt Consolidation","CA",15.37,"None",31889.17847,745,2,30,14,"None",4746,18.5,33,55,"None","0"
4800,"36 Months",0.5,"NOne",21000,"Home Improvement","AL",6.34,"None",36361.15139,750,0,0,7,"None",3470,25.5,8,97,"None","0"
3000,"36 Months",2,"NOne",62000,"Home Improvement","",11.98,"None",37592.50833,680,0,0,9,"None",12640,83.2,12,398,"None","0"
18000,"36 Months",2,"NOne",27000,"Medical","CA",10.8,"None",34342.47222,680,0,0,5,"None",8537,75.5,5,1000,"None","0"
5000,"36 Months",7,"MORTGAGE",52000,"Debt Consolidation","CA",9.55,"None",30000,765,0,0,10,"None",4067,7.3,24,81,"None","0"
15000,"36 Months",0.5,"NOne",88000,"0","AZ",11.95,"None",34324.47292,700,0,0,3,"None",24615,94.7,6,877,"None","0"
4800,"36 Months",2,"NOne",20000,"0","AL",10.26,"None",33069.36528,755,0,0,9,"None",4921,30.4,9,87,"None","0"
6400,"36 Months",5,"NOne",95000,"Debt Consolidation","AL",1.83,"None",35978.29931,665,1,0,7,"None",11200,23.2,11,10,"None","0"
6000,"36 Months",10,"MORTGAGE",68686,"Debt Consolidation","",6.11,"None",31960.25347,775,3,0,12,"None",2444,5.6,31,226,"None","0"
12000,"36 Months",2,"MORTGAGE",150000,"Debt Consolidation","AZ",20.48,"None",34955.04167,685,1,0,16,"None",50000,51.6,34,359,"None","0"
5750,"36 Months",0.5,"NOne",95000,"Debt Consolidation","AL",1.2,"None",30000,810,0,0,4,"None",50,0.3,6,83,"None","0"
12950,"36 Months",0.5,"MORTGAGE",92000,"Renewable Energy","",6.48,"None",33798.44097,710,1,0,10,"None",2598,23.8,15,600,"None","0"
4000,"36 Months",3,"NOne",62000,"0","AZ",17.81,"None",33079.43958,680,2,32,15,"None",18168,68.5,30,1000,"None","0"
3000,"36 Months",10,"MORTGAGE",32904,"Medical","CA",22.79,"None",30020.06181,680,2,0,7,"None",24218,85.3,7,90,"None","0"
16000,"36 Months",0.5,"NOne",2e+05,"0","AL",10.7,"None",32091.47431,695,1,59,9,"None",50000,73.7,33,947,"None","0"
17600,"36 Months",1,"NOne",153000,"Medical","",0.12,"None",38283.33125,755,0,0,6,"None",1032,5,7,965,"None","0"
9600,"36 Months",1,"NOne",42500,"Home Improvement","AL",14.6,"None",35782.33819,675,1,33,6,"None",133,4.2,20,70,"None","0"
6500,"36 Months",10,"MORTGAGE",48000,"Debt Consolidation","AZ",13.53,"None",30000,785,3,0,24,"None",10742,8.9,43,30,"None","0"
25000,"36 Months",2,"NOne",52000,"Renewable Energy","AZ",9.74,"None",34554.30208,710,0,0,8,"None",25852,60.5,27,608,"None","0"
18500,"36 Months",2,"MORTGAGE",52000,"0","AZ",17.56,"Eight",31353.24514,705,0,17,12,"None",32438,43,23,142,"None","0"
12000,"36 Months",1,"MORTGAGE",30000,"Debt Consolidation","CA",19.84,"None",37373.28819,700,1,0,9,"None",7336,71.9,24,99,"None","0"
9000,"36 Months",9,"MORTGAGE",52000,"0","AL",4.98,"None",32785.26319,660,1,44,6,"None",8644,72.6,14,47,"None","0"
12000,"36 Months",2,"MORTGAGE",97000,"Home Improvement","AZ",5.58,"None",34617.37083,695,0,74,11,"None",19009,30,18,268,"None","0"
5000,"36 Months",10,"NOne",48000,"0","AZ",0.38,"Eight",30000,715,2,17,7,"None",498,7.3,25,61,"None","0"
4800,"36 Months",6,"MORTGAGE",60000,"Home Improvement","AL",12.94,"None",36449.23125,695,3,60,12,"None",2822,9.9,24,41,"None","0"
20000,"36 Months",0.5,"MORTGAGE",108000,"Debt Consolidation","AL",11.96,"None",34349.31528,705,0,0,6,"None",21004,97.7,35,15,"None","0"
10000,"36 Months",2,"NOne",58800,"Debt Consolidation","AZ",7.51,"None",35310.06875,660,3,59,6,"Four",7251,80.6,15,267,"None","0"
3000,"36 Months",4,"NOne",36600,"Medical","AL",2.69,"None",34740.15278,695,2,0,4,"None",1492,33.2,5,52,"None","0"
2975,"36 Months",0.5,"NOne",25000,"Debt Consolidation","",14.16,"None",37502.12431,690,0,0,8,"None",7121,33.7,9,205,"None","0"
16500,"36 Months",0.5,"NOne",62000,"Debt Consolidation","AL",19.22,"None",36360.44028,675,2,0,8,"None",17641,69.5,18,314,"None","0"
15000,"36 Months",2,"NOne",77000,"0","AZ",7.96,"None",33511.09236,770,0,0,7,"None",0,0,30,99,"None","0"
17950,"36 Months",3,"NOne",75000,"0","AZ",10.34,"None",36751.17361,695,1,0,5,"None",23391,90.7,14,431,"None","0"
15000,"36 Months",0.5,"MORTGAGE",19500,"0","AL",21.23,"None",33540.51944,770,0,0,11,"None",16324,48,25,22,"None","0"
